,comments,target
451,เป็นคอร์สที่ทำให้ผู้เรียนเข้าใจการเขียนภาษา Kotlin ได้อย่างรวดเร็ว ผู้สอนสอนได้เข้าใจดีครับ มี colab ควบคู่ไปด้วยแต่ละบททำให้ได้ฝึกลองเขียนภาษา Kotlin ไปพร้อมกับบทเรียนแต่ละบทครับ,pos
452,เป็นคอร์สที่มีความเป็นพื้นฐานมาก ๆ แต่ในความพื้นฐานของมัน ก็ยังมีบางเรื่องที่ขนาดคนที่เคยเขียน Kotlin มาก่อน ยังเพิ่งมาเข้าใจจากบทเรียนนี้อยู่เลย,pos
453,เป็นคอร์สที่สอนพื้นฐานครบถ้วนครอบคลุม แต่มีเรื่อง oop ที่เข้าใจบ้างสำหรับมือใหม่อย่างผม จะต้องทวนอีกหลายรอบและลองสร้างโปรเจค,pos
454,รวมๆถือว่าเนื้อหาที่ต้องรู้ครบถ้วน แต่อาจจะต้องไปศึกษาเองเพิ่มเติมตาม link ที่แนบไว้ รวมไปถึงบางเรื่องไม่ได้ลงรายละเอียดมากขนาดนั้น,pos
455,เนื้อสั้นกระชับ เข้าใจง่าย มีแนะนำให้เรียนเพื่อได้รับ Google Developer Badge ด้วย,pos
456,พี่คนสอนสอนดีมากค่ะ คอร์สนี้อาจเป็นแนวทางพื้นฐานให้สำหรับใครที่ยังไม่เคยเรียน,pos
457,สอนได้ละเอียดมากครับ ใช้ศัพท์ไทยที่ทำให้เข้าใจง่าย เนื้อหาดี,pos
458,ให้ความรู้พื้นฐาน เพื่อนำไปใช้ และเรียนรู้เพิ่มเติมต่อ,pos
459,อธิบายครบถ้วน มีแหล่งข้อมูลเพิ่มเติมให้ด้วย ดีมากครับ,pos
460,Free Course ที่มีคุณภาพมากค่ะ พูดเข้าใจง่ายมาก,pos
461,บางตัวอย่างไม่อธิบาย พอทำแบบทดสอบเลยจะไม่เข้าใจ ไม่รู้จะตอบว่าอะไร อยากให้อธิบายเรื่อง บวก ลบ คูณ หาร เรื่องตัวเลข ให้ละเอียดกว่านี้,neg
462,สอนเข้าใจง่าย ครอบคลุมเนื้อหาที่ต้องรู้สำหรับการพัฒนาโปรแกรมด้วย Kotlin,pos
463,ช่วยทวนความจำการใช้ Kotlin ได้ดีมากครับ,pos
464,เนื้อห่ที่ใช้ในการสอน ดี เข้าใจง่ายครับ,pos
465,ดีมากเลยครับ แต่บางจุดพูดเร็วไปนิด,pos
466,ดีมากครับ เข้าใจง่าย,pos
467,ได้ความรุ้เยอะมากๆ,pos
468,เริ่มต้นสำหรับใครที่ไม่ได้รู้ภาษาKotlinมาก่อน,neg
469,สอนดีครับ,pos
470,สำหรับคนที่ต้องพัฒนาด้านความคิดวิเคราะห์ และใช้ data จะเข้าใจมากขึ้น แถมยังได้ skill การทำ excel เพื่อไปใช้ในการวิเคราะห์ข้อมูลหรือช่วยทำ data sheet อย่างง่าย แต่ต้องบอกว่ายากนิดนึงสำหรับคนที่ไม่คุ้นกับ excel หรือ data,pos
471,จากที่เราเคยทำได้อยู่บ้างหลังจากเรียน คอร์สนี้แล้วทำให้เราได้เรียนรู้ว่ายังมีอีกหลายอย่างที่เรายังไม่รู้และจะมาช่วยให้เราทำการวิเคราะห์ข้อมูลได้มากขึ้นอยู่ที่การฝึกฝนและใช้บ่อยๆ แล้วเราก็จะทำได้ดีมากขึ้นไปอีก,pos
472,"เป็นการปูพื้นฐานที่ดี สอนได้เข้าใจง่าย ตรงประเด็น
แต่อยากให้เพิ่มเนื้อหา พวกการตั้งค่าแถบสี
ในกรณีที่ set default เพราะ บางที อยากมองเร็วๆ
โดยใช้ สี เป็นตัวบอก เพื่อประมวลผลได้อย่างรวดเร็ว",pos
473,อยากให้มีคอร์สที่เน้นเรื่องการวิเคราะห์ข้อมูลที่ลงลึกมากกว่านี้ค่ะ เพราะที่คาดหวังไว้คือบทเรียนในส่วนของการวิเคราะห์ด้วยเทคนิคต่างๆ แต่การสอนเรื่องเครื่องมือก็โอเคค่ะ,neg
474,เนื่องเราก่อนที่จะเรียนเราพอมีพื้นฐานมาระดับนึง แต่พอได้เรียนกับ อ.วิโรจน์นั้นทำให้เราเคลียคำถามและเนื้อหาที่เราไม่เข้าใจให้เข้าใจได้เป้นอย่างดี,pos
475,เป็นคอร์สที่สอนได้ครบถ้วนสำหรับเครื่องมือพื้นฐานในการใช้ excel วิเคราะห์ข้อมูลเบื้องต้น เนื้อหาอัดแน่นอยู่ครับ แต่มีประโยชน์มากๆ,pos
476,เหมาะกับคนที่ไม่มีพื้นฐาน Excel มากครับ และเมื่อเรียนแล้วยังได้หลักการแปลข้อมูลเบื้องต้น นับเป็นจุดเริ่มต้นที่ดีครับ,pos
477,ต้องบอกว่าอธิบายเข้าใจง่าย แต่ทั้งนี่ทั้งนั้น ก็อยู่ที่การนำไปใช้งานหลังจากอบรม ควรใช้งานสม่ำเสมอ ไม่งั้นลืมแน่นอน,pos
478,อาจาร์ยสอนดีมากครับค่อนข้างเข้าใจได้ง่าย เเละสามารถทำตามได้ทันที ส่วนตัวเเอบอยากให้มีโจทย์ให้ทำมากกว่านี้เล็กน้อย เเต่ที่มีตอนนี้ก็ไม่ได้น้อยเกินไปเลย ส่วนตัวเเล้วเเนะนำมากครับ,pos
479,ปูพื้นฐานในการทำความเข้าใจและสำรวจข้อมูล เพื่อตอบคำถามเบื้องต้นเกี่ยวกับชุดข้อมูลนี้ โดยใช้เครื่องมือ Excel,pos
480,เปิดโลกการใช้งาน Excel ให้มีประสิทธิภาพขึ้นมาก และทำให้รู้ว่า Excel เป็น tool ที่ Powerfull มากๆ,pos
481,อาจารย์ต้า สอนเรื่องที่ดูซับซ้อน ให้เข้าใจง่าย และ มีแบบฝึกหัดให้ลองทำจริง ตลอดการสอนครับ,pos
482,ดีมากช่วยปรับทักษะความรู้ให้ทำงานง่ายและช่วยลดขั้นตอนเก็บข้อมูล ค้นหา จัดทำข้อมูลได้มาก,pos
483,เนื้อหาสาระที่เรียนมีประโยชน์กับการหาข้อมูลต่างๆได้สะดวกและรวดเร็วชัดเจนยิ่งขึ้น,pos
484,มีสูตรและวิธีคิดดีๆ เกินกว่าที่คิดไว้มาก และคิดว่าจะเรียนซ้ำเพื่อทบทวนอีกแน่นอน,pos
485,เป็นคอร์สที่ให้ทักษะในการทำงาน และเทคนิคต่าง ๆ สามารถนำมาใช้กับการทำงานได้ดีมาก,pos
486,เรียนแล้วเห็นภาพการใช้งานมากขึ้นสามารถนำไปประยุกต์หรือศึกษาต่อในส่วนที่สนใจได้,pos
487,คอร์สมีรายละเอียดการสอนที่ดีมาก แม้คนไม่มีพื้นฐานก้อสามารถเข้าใจได้,pos
488,การออกเเบบรูปแบบการเรียนดีมากค่ะ มีให้ทำตัวอย่างไปด้วย ทำจนจบเเล้วเหมือนได้มี Short note ในตัว เยี่ยมเลย,pos
489,"มีลูกเล่นในการสอนใช้สูตรfunction กว่าที่อื่นๆ
อยากให้มีตัวอย่างที่เหมาะไปปรับใช้ในการทำงานจริงมากขึ้น",pos
490,คอร์สดีค่ะ แต่ว่าเวลามีคำถาม หาที่ถามได้ยากมาก การบ้านทำไม่ได้ก็ไม่รู็จะถามใครดี ตั้งกระทู้ไปก็ไม่มีใครตอบ คุยกับBot Botก็ไม่รู้เรื่อง ถ้าทีมงานเห็นรีวิว กรุณาช่วยเหลือหน่อยนะคะ,neg
491,ได้เนื้อหาใหม่ๆ แต่อยากให้อธิบายเกี่ยวกับคำต่างๆมากกว่านี้เพราะต้องออกไปหาเพิ่มเติมว่าคำนี้คืออะไร,pos
492,อาจารย์สอนดี เข้าใจงาน ไปไม่เร็วมาก สามารถนำไปใช้ได้จริง,pos
493,สอนอะไรที่นำไปใช้ได้จริง สั้นๆ ได้ใจความ,pos
494,อจ.สอนที่ละขั้นทำให้เข้าใจง่ายดี แต่สูตรเยอะ จำไม่ได้,pos
495,ได้ความรู้เกี่ยวกับ excel เยอะมาก,pos
496,ได้รู้เกี่ยวกับสูตร excel มากขึ้น,pos
497,มีเทคนิคดี ๆ ที่คิดไม่ถึงเยอะมาก,pos
498,เวลานานไป และบางฟังก์ชัน Excel ปัจจุบันไม่รองรับ,pos
499,เนื้อหาละเอียด ไม่ไวจนเกินไป,pos
500,เข้าใจง่ายดี มีให้ลองทำด้วย,pos
501,ได้รู้เทคนิคใหมๆ เยอะเลยยยย,pos
502,ผู้บรรบาบสอนดีมากครับ,pos
503,ใช้งานได้จริง,pos
504,good course,pos
505,good!,pos
506,สอนดี,pos
507,เคยเรียนมาหลายคอร์ส รู้สึกคอร์สที่อื่นๆ ไม่ได้อธิบาย ถึงสูตรนี้มีแหล่งที่มา มีความหมาย รวมถึงการมาทำกราฟ ว่าทำไมใช้กราฟนี้ถึงเหมาะกับสิ่งที่อยากจะวิเคราะห์ แนะนำมากๆฮะ,pos
508,ได้มุมมองความคิดเกี่ยวกับธุรกิจมากขึ้นและสามารถนำการvisualizationแบบdashboardรูปแบบต่างๆเอาไปประยุกต์หรือศึกษาต่อเพิ่มเติมได้,pos
509,ใครที่เคยใช้ Power BI อยู่แล้ว ลองมาเรียนรู้การใช้ Power BI ให้เต็มประสิทธิภาพขึ้น ด้วยการเขียน DAX กันครับ,pos
510,เรียนเสร็จแล้ว รู้สึกเข้าใจ power bi เพิ่มมากขึ้น ในระดับที่คิดว่าจะนำไปใช้ต่อได้,pos
511,advance มากกว่าที่คิด แต่ก็สามารถนำไปใช้ประโยชน์ได้จริง,pos
512,จากคนที่ทำไม่เป็นพอไปวัดไปวา หมาไม่เห่า ดีมากจริงๆ,pos
513,มีตัวอย่างข้อมูลสร้าง dashboard ให้ลองทำเยอะมากค่ะ,pos
514,ยากมาก ต้องใช้เวลาเรียนนาน ถ้าเป็นคนที่ทำข้อมูลด้านนี้น่าจะมีประโยชน์มาก,pos
515,เหมาะสำหรับผู้เรียนที่มีความรู้มาบ้างแล้ว,pos
516,ต้องหมั่นฝึกฝนการเขียน DAX,pos
517,เนื้อหาแน่นมาก,pos
518,คอร์สนี้เหมาะมากสำหรับคนที่เขียน Go อยู่แล้ว แล้วต้องการที่จะต่อยอดความรู้ และเรียนรู้ practice เพิ่มเติมครับ,pos
519,พื้นฐานการเขียน API ด้วย go ครบถ้วนครับ เช่นเคย ผู้เรียนต้องมีพื้นฐานการเขียน API มาบ้าง เพื่อความเข้าใจ,pos
520,เป็นคอร์สที่ดีมากๆครับ แต่ว่าอาจจะมีบางส่วนที่ตัวผมรู้สึกว่าไปไวไปหน่อย,pos
521,อยากให้มีในส่วนของการเตรียม Tools และอธิบายเพิ่มเติมว่าทำไมต้องใช้ Tools ตัวนั้น ๆ เพิ่มด้วยครับ,pos
522,"การจะเข้าใจเนื้อหาคอร์สนี้ require ความรู้อื่นๆค่อนข้างเยอะ เช่น docker, kube, tools ต่าง ๆ จึงไม่เหมาะจะเป็นคอร์สเริ่มต้นในการสร้าง api (ควรมีความรู้มาก่อนประมาณนึง)",neg
523,เหมาะกับผู้ที่มาจากภาษาอื่น ๆ ไม่เหมาะกับมือใหม่เนื่องจากเป็นเนื้อหาของระดับกลาง,pos
524,ผู้สอนมีความรู้ในภาษา Go จริงๆ และช่วยเหลือตอบข้อสงสัยต่างๆในบอร์ดได้อย่างดี,pos
525,สอนให้เข้าใจง่ายมากขึ้นครับ ขอบคุณคอร์สดีๆครับ,pos
526,จากตัวอย่าง code มีการอธิบายข้ามในแต่ละบท ทำให้หลายครั้งไม่สามารถ ทดลองทำตามได้  เลยต้องฟัง concept แทนการทดลองและทำความเข้าใจ,neg
527,การทำงานจริงๆ น่าจะต้อง Advance กว่านี้เยอะ,pos
528,ข้ามขั้นตอนไปหลายขั้นตอนเหมือนจะต้องมีพื้นฐานมาพอสมควรครับ,neg
529,เนื้อหาใช้งานได้จริง,pos
530,"ดีขึ้นกว่า Go Fundamentals เพราะคอร์สนี้ค่อนข้างอธิบายที่มาที่ไปมากขึ้นในช่วงแรก แต่พอมาช่วง Deployment ใส่ยับอีกแล้ว น่าจะเกริ่นเรื่อง Docker นิดหน่อย สำหรับคนไม่เคยใช้ สอนติดตั้งหรือตั้งค่าอธิบายนิดหนึ่งก็ยังดี

และที่สำคัญในคอร์สนี้โค้ดค่อนข้างเยอะ แต่ไม่มีให้ก๊อปหรือให้ดูเลย มาถึงก็พ่นโค้ดออกมา",neg
531,คอร์สนี้ทำให้รู้จัก Tools ที่จะช่วยทุ่นแรงในการทำเว็บของเราได้ง่ายขึ้นอีกเยอะ ผู้สอนสอนเข้าใจง่าย อธิบายได้ครบถ้วน ชอบค่ะ,pos
532,นึกว่าจะได้พื้นฐาน web design เฉยๆ แต่ได้เข้าใจโครงสร้างเว็บไซต์ระดับที่คุยกับ Dev รู้เรื่องเลยด้วย 💕,pos
533,สอนดี ไม่ต้องมีพื้นฐานก็สามารถเข้าใจได้ง่าย สามารถนำไปต่อยอดได้,pos
534,สอนดีมากครับ,pos
535,เนื้อหาดี เข้าใจง่าย ขาดตรง material  (Code)  ไม่ได้มีบอกไว้ว่าต้องไปโหลดที่ไหน ถ้าให้ Link ไป clone จาก GitHub เพื่อเปิดตามไปด้วยก็จะดีมากครับ,pos
536,ได้ประโยชน์เยอะมากครับ สำหรับ คอร์สนี้ เหมาะสำหรับผู้ที่ต้องการ วางโครงสร้างโครงการ,pos
537,เป็นคอร์สที่ดีครับ ผมค่อนข้างจะเป็นมือใหม่ และได้ความรู้มากมายจากคอร์สนี้ครับ,pos
538,required ความรู้ go basic เยอะ แต่ดีสำหรับผู้ที่มีพื้นฐานแน่นแล้ว ซึ่งคอร์สนี้ดีแล้วครับ,pos
539,ใช้เป็นแนวทางได้ดี แต่ไม่เหมาะกับผู้ที่เพิ่งเริ่มต้น,pos
540,อยากได้คอร์สที่ละเอียด และมีการใช้งานกับโปรเจกที่ซับซ้อนกว่านี้,pos
541,อธิบายหลักการและแนวทางการโปรแกรมได้ดี,pos
542,สอนเข้าใจง่าย เห็นกระบวนการการทำงาน เอาไปต่อยอดได้,pos
543,สอนได้ดีครับ  แนะนำครับ,pos
544,ทำให้เห็นภาพการทำ DevSecOps และเห็นแนวทางในการเรียนรู้ต่อว่าควรจะเรียนรู้อะไร อันไหนไม่ต้องไปเรียนแล้วให้เสียเวลา,pos
545,ให้เห็นภาพรวมของการทำ DevSecOps ได้ดี แต่ต้องนำไปศึกษาเพิ่มเติมต่อเองอีก จึงจะนำไปใข้ได้จริง,pos
546,ดีมากจริงๆครับ อยากให้เรียนก่อนเริ่มทำที่องค์กร,pos
547,เข้าใจง่ายและเห็นภามมากขึ้น,pos
548,รู้จัก concept มากขึ้นครับ,pos
549,เนื่้อหาเกียวกับ devsecops ทั้งหมด,pos
550,ถ้ามี  code ตัวอยางให้ด้วยจะดีมาก,pos
551,ดีค่ะ,pos
552,"โดยรวมเป็นคอร์สอธิบายการใช้งาน AppSheet เบื้องต้นได้ดีครับ 

ส่วนที่อาจจะทำให้ยากสำหรับคนไม่มีพื้นฐาน คือ การทำความเข้าใจสูตรและ Function ต่างๆ ซึ่งมีรายละเอียดที่ต้องศึกษาเพิ่มเติม รวมถึงการทำความเข้าใจในเรื่องหลักการการสร้างตารางและฐานข้อมูล หากเพิ่มเติมรายละเอียดในเรื่องดังกล่าวมากขึ้น อาจช่วยให้ผู้เรียนเข้าใจได้ลึกซึ่งขึ้นครับ

อีกส่วน คือ ตัวอย่างของโจทย์ซึ่งอาจจะเป็นด้านเดียว หากประยุกต์นำ template ที่มีมาใช้หรือแสดงให้เห็นถึงความหลากหลายในการนำไปใช้ได้ จะช่วยให้ผู้เรียนสามารถจินตนาการในการเอาไปใช้งานในรูปแบบอื่นๆ ได้หลากหลายขึ้นครับ",neg
553,ดีมากครับ เรียนจบแล้วสามารถนำความรู้ไปประยุกต์ทำงานอื่นๆ ต่อ ต่อยอดได้ เหมาะสำหรับคนไม่เก่งเขียน code มากๆ ครับ คนไม่เก่ง coding ก็สามารถเขียน app ไว้ใช้เองได้ครับ,pos
554,อยากให้อธิบายตรงสูตรในหน้าapp formulaมากกว่านี้ถึงเหตุและผลในการใส่สูตรนั้นๆเพื่อจะได้เข้าใจและนำไปadaptใช้ได้มากกว่านี้ค่ะ และการติดต่อสอบถามเจ้าหน้าที่ค่อนข้างยากและได้คำตอบค่อนข้างช้าค่ะ,neg
555,ให้ความรู้ที่เป็นประโยชน์อย่างมากๆ สำหรับผู้เริ่มต้นเรียนรู้,pos
556,ผู้สอนอธิบายดี ทำให้เข้าใจ function ต่างๆได้ง่าย และชอบที่มีการยกตัวอย่าง และมีโจทย์ให้ลองทำ,pos
557,ในช่วง exercise มีโจทย์ผิดเล็กน้อย รบกวนตรวจสอบอีกครั้งครับ,pos
558,เรื่องพื้นฐานให้เต็มครับ แต่เรื่องเทคนิคอยากให้ยกตัวอย่างมากกว่าเคส เบิกเงิน และก็การทำงานข้าม Base,neg
559,อยากได้ project ทำเพิ่ม,pos
560,คอร์สดีมากครับ ตอบโจทย์คนที่ยังไม่ค่อยเข้าใจในเรื่อง Service design เท่าที่ควร มีการยกเคสกรณีศึกษา ที่เข้าใจง่าย เห็นภาพชัดเจน และได้ความรู้ในการนำไปประยุกต์กับธุรกิจอื่นๆได้อย่างครอบคลุมมาก ดีมากครับ,pos
561,ผู้สอนมีการอธิบายเข้าใจง่ายและเป็นขั้นเป็นตอน  มีการแนะนำเครืองมือที่ใช้ และมีการยกตัวอย่างในแต่ละหัวข้อ ทำให้เห็นภาพรวมและการประยุกต์ใช้งานได้อย่างชัดเจน,pos
562,ผู้สอนแบ่งหัวข้อเป็นลำดับที่เข้าใจง่าย มีตัวอย่างประกอบชัดเจนในแต่ละหัวข้อ เนื้อหาครอบคลุมทุกส่วน น้ำเสียง การอธิบายน่าฟังและฟังสบายค่ะ,pos
563,พี่ขวัญสามารถถ่ายทอดความรู้ที่ยากมาก ๆ เกี่ยวกับ service design ให้ออกมาเป็นวิธีการที่เข้าใจง่าย เเละค่อย ๆ เเนะนำ tools หลายยอย่างที่สามารถนำมาปรับใช้ในชีวิตจริงได้ค่อนข้างมาก ชอบวิธีการถ่ายทอดมาก ๆ ค่ะ,pos
564,ดีมากๆ ได้ความรู้ที่ลึกและรู้จริง และทำให้เราได้ไปสังเกตุถึงบริการของที่เราได้รับ  ว่าเป็นอย่างไร,pos
565,เนื้อหา service design ทั้งทฤษฎีและตัวอย่างที่ต่อเนื่องกันตั้งแต่ต้นจนจบ ทำให้จับประเด็นได้ง่าย,pos
566,เป็นคอร์สที่ทำให้เข้าใจเรื่อง Service Design ได้ทุกแง่มุม ทั้งภาพรวมและรายละเอียด มี Template และตัวอย่างทำให้เข้าใจง่าย คลิปวิดีโออธิบายชัดเจนดีค่ะ,pos
567,Template ดีครับ การยกตัวอย่างทำให้เข้าใจการใช้งานและจุดประสงค์ของ template ได้ชัดเจนขึ้น,pos
568,ดีมากเลยครับ เข้าใจแต่ละกระบวนการมากขึ้น อยากให้เน้นตัวอย่าง หรือวิธีการเยอะๆ จะได้เป็นเคสตัวอย่างให้ผู้เรียนเข้าใจมากขึ้น,pos
569,ดีค่ะ ได้ความรู้เยอะเลยสนุกด้วยค่ะน้ำเสียงฟังเพลินมากไว้ทำแล้วจะมาแชร์นะคะ,pos
570,ได้รับความรู้และสร้างความเข้าใจในการออกแบบบริการมากขึ้น รวมถึงมีตัวอย่างประกอบเพื่อที่จะสามารถนำไปต่อยอดไอเดียได้,pos
571,การรู้เรื่อง Service Design ช่วยให้เราเห็นภาพกว้างมากขึ้นและทำงานได้ครอบคลุมมากขึ้นกับคนที่เกี่ยวข้อง,pos
572,ละเอียดแล้วน่าสนใจ pacing ดีค่ะ ข้อมูลและตัวอย่างชัดเจนค่ะ,pos
573,ช่วยให้เข้าใจและเห็นตัวอย่าง นำไปทำงานได้จริงค่ะ,pos
574,ช่วยให้เข้าใจแต่ละ tools ได้มากขึ้น,pos
575,บนพื้นฐานที่เกี่ยวกับการบริการ ควรเรียนรู้ไว้จะดีมาก,pos
576,เนื้อหาเข้าใจง่ายสำหรับการเริ่มต้นกับ service design,pos
577,อธิบายได้ดี และเข้าใจง่ายมากๆ,pos
578,เนื้อหาถูกแบ่งเป็นส่วนๆ และถูกเรียงลำดับอย่างเหมาะสม ในแต่ละเรื่องมีการทำ demo และอธิบาย use case ทำให้ผู้เรียนทราบว่าเนื้อหานั้นๆมีประโยชน์อย่างไรและนำไปใช้งานต่อได้อย่างเหมาะสม,pos
579,"อาจารย์สอนดีมากๆ ครับ
สำหรับใครที่ยังไม่ค่อย เข้าใจ เรื่อง git  
แนะนำคอรส์นี้เลยครับ  คุ้มราคา ประหยัดเวลาด้วยครับ",pos
580,โดยรวมเข้าใจง่ายมาก มีการ Demo ให้ดูซึ่งก็ช่วยให้เห็นภาพได้ดีขึ้น ไม่แน่ใจว่าคนสอนสอนเร็วไปนิดนึงรึเปล่านะ พดีมีพื้นฐาน git อยู่ประมาณนึง เลยอาจจะไม่ได้รู้สึกเท่าไร,pos
581,ละเอียดครอบคลุม เหมาะกับผู้เริ่มต้น อยากให้ทำ ต่อเรื่อง trunk based developmment,pos
582,อธิบายได้เข้าใจ มีการยกตัวอย่างการทำงานจริง ทำให้มองภาพได้เข้าใจมาก,pos
583,ผู้สอนอธิบายการใช้งาน git พร้อมยกตัวอย่างได้อย่างชัดเจน,pos
584,คอร์สนี้ช่วยได้เยอะเลยครับ เข้าใจ git เพิ่มมากขึ้นมาก,pos
585,อธิบายดีมากครับ แต่เร็วไปหน่อยและตัวอย่างน้อยไปหน่อยครับ,pos
586,เป็นคอร์สที่ดีในรีะดับพื้นฐาน สามารถเอามาใช้ทำงานได้,pos
587,ได้เรียนรู้ และเข้าใจความคิด เบื้องหลังพฤติกรรมการแสดงออก การตัดสินใจของมนุษย์ ในคอร์สยังได้ยกตัวอย่างที่น่าสนใจ และ case study ที่นำไปประยุกต์ใช้กับธุรกิจได้ด้วย ชอบเนื้อหาในส่วนของการนำไปใช้เป็นพิเศษ อธิบายละเอียดมากค่ะ,pos
588,ทำให้มองเห็นภาพชัดขึ้นว่า เราสามารถปรับเปลี่ยนอะไรให้ดีขึ้นได้บ้างในธุรกิจของเรา มีตัวอย่างเห็นภาพชัด อยากให้จัดเวิร์กชอปแบบเป็นภาคต่อของคอร์สนี้ สนุกดีครับ,pos
589,เป็นศาสตร์ที่น่าสนใจมาก การเรียนรู้ในเบื้องต้นจากคอร์สทำให้เข้าใจในหลักการการสังเกตและโน้มน้าวพฤติกรรมสำหรับการพัฒนาและออกแบบผลิตภัณฑ์ในอนาคตได้,pos
590,เป็นคอร์สที่ช่วยปูพื้นฐานความเข้าใจเรื่อง พฤติกรรมศาสตร์ที่ดีและครบถ้วนครับ ส่วนตัวคิดว่าเนื้อหาไม่เยอะมากจนเกินไป แต่หลักการต่างๆ สามารถนำไปลองประยุกต์ใช้ เพื่อเรียนรู้ในงานตัวเองได้ค่อนข้างเยอะ,pos
591,สอนได้เข้าใจง่าย เเละสามารถนำมาประยุกต์ใช้ได้กับการทำงานในชีวิตประจวัน เเละเข้าใจวิธีคิดของคนในการสร้างสินค้าใหม่ ๆ ด้วยค่ะ,pos
592,เป็นคอร์สที่น่าสนใจและสามารถนำไปประยุกต์ใช้ได้กับหลากหลายงาน หรือแม้แต่กระทั่งในชีวิตประจำวันของเรา,pos
593,ผู้สอนบรรยายเนื้อหาได้ค่อนข้างกระชับ แต่อาจจะมีบางส่วนที่ต้องไปศึกษาเองเพิ่มเติม,pos
594,มีหลักการทำให้แยกแยะพฤติกรรมได้ เรียนสนุกทำให้อยากเรียนเพิ่มเติม,pos
595,สอนเข้าใจง่าย ได้องค์ความรู้ใหม่ๆ,pos
596,อยากให้มี case study จริง สอดแทรกในคอร์สมากกว่านี้,neg
597,"ครูเกรท เยี่ยมมาก อธิบายเข้าใจง่าย
เตรียมเนื้อหาดีมาก  พร้อมดักทาง ในสิ่งที่เรา เอ๊ะ คิดว่าน่าจะทำแบบนี้ดีกว่า  แต่ครูเกรทไวกว่า  มาอธิบายเสริมตอนท้ายทุกครั้ง ขอบคุณครับ   
แนะนำคอร์สนี้  สำหรับผู้ที่มีพื้นฐาน Basic Python Programming  และมีพื้นฐานวิเคราะห์ข้อมูล ด้วย Excel ระดับกลาง มาก่อน",pos
598,เป็นคอร์สที่คุ้มทุนมากๆ คนสอนตั้งใจสอนและอธิบายได้ชัดเจน ไม่มีการอมความรู้แต่อย่างใด อยากให้ผลตอบรับออกมาดี เพื่อที่ผมจะได้เลย mathplotlib ต่อ ขอบคุณที่สร้าง Contents ดีๆ แบบนี้ออกมาคับ,pos
599,เป็นคอร์สที่ดีมากๆครับ อยากให้มีคอร์สสอนเกี่ยวกับ pandas มานานเเล้ว สอนสนุก เนื้อหาละเอียด ครบถ้วน ตรงกับการใช้งานจริงๆ ใครทำงานกับข้อมูลที่ต้องเขียนโปรเเกรม ควรค่าเเก่การเรียนมากๆครับ,pos
600,พี่เกรทสอนดีมากๆ ไม่น่าเบื่อ มีการแทรกทริคเล็กน้อย มีโบนัสดีมาก ๆ ค่ะ อยากให้มีคอร์ส Visualization ใน Python ต่อค่ะ แล้วมีส่วนลดสำหรับคนซื้อคอร์นี้แล้วเรียนคอร์ส visualize ต่อด้วยค่าา,pos
601,"ตามมาจากที่พี่เกรทสอนใน youtube แล้วก็ไม่ผิดหวังจริงๆครับ เนื้อหาแน่นแต่สอนดี เข้าใจได้ง่าย ระหว่างทางมี quiz ให้ทำเพื่อทบทวน และยังมี practices ให้ฝึกด้วย
รอคอร์สต่อไปอยู่นะครับ",pos
602,ครบจบในคอร์สเดียว ชอบตรงมีการสอนสลับกับการปฏิบัติจริง แถมมีแบบฝึกหัดและ quiz ให้ด้วย ที่ชอบอีกอย่างคือการแบ่งเป็นหมวด ๆ กลับมาทบทวนได้ง่าย คุ้มค่ามากครับคอร์สนี้,pos
603,เนื้อหาดีและครบถ้วนสำหรับการนำไปใช้วิเคราะห์ข้อมูล ผู้สอน (คุณเกรท) มีประสบการณ์ในด้านนี้เยอะมากและสามารถถ่ายทอดออกมาได้เป็นอย่างดี,pos
604,ดีมากๆ ตัวอย่างละเอียด เห็นภาพทำให้เข้าใจวิธีใช้และข้อควรระวังทั้งหมด ชอบที่มีการพยายามทวนเนื้อหาเก่าๆให้เรื่อยๆ,pos
605,เข้าใจง่ายและมีแบบฝึกให้ฝึกฝนควบคู่ไปด้วยทำให้มีความเข้าใจและการนำไปใช้โค้ดต่างๆได้ดีขึ้น,pos
606,สอนสนุก ไม่ช้า ไม่เร็วจนเกินไป มีแนะนำเทคนิคที่ใช้เป็นประจำ และวิธีการศึกษาเพิ่มเติม,pos
607,เข้าใจพื้นฐานการทำงานของ numpy&pandas ขึ้นเยอะกว่าเดิม + พี่เกรทสอนดีมากๆๆๆ เลยค่ะ,pos
608,"พี่เกรซสอนเข้าใจง่ายมากเลยค่าาา คอร์สหน้าอยากให้สอนเกี่ยวกับ 
ML ด้วยค่าาา",pos
609,เยื้อหาที่เรียบเรียงมา เข้าใจง่ายและใช้ได้จริง,pos
610,เป๋นคอสที่เข้าใจง่าย และ สอนละเอียดมากครับ,pos
611,พี่เกรทสอนตลกดีครับ เรียนได้เพลินๆเลย,pos
612,พี่เกรทสอนดีมากกกกกกกกกกกกกๆค่า :),pos
613,รอคอร์ส matplotlib ต่อเลยครับ,pos
614,เป็นจุดเริ่มต้นที่เยี่ยมยอด,pos
615,เป็นคอร์สที่ดีมากกค้าบ,pos
616,ได้เทคนิคดีๆ ไปปรับใช้กับงาน,pos
617,ดีมาก ครบครัน,pos
618,สอนเข้าใจง่าย,pos
